M,C,N,bar_alpha,F,delta_global,delta_cell,eps_M,L_alpha,U_2,U_F,m_L,issued,eta_star,method,R_cert,mL_le_0,UF_eq_quarter,R_cert_eq_1,R_cert_lt_07,R_cert_lt_03
1000,4,64,0.8,0.0,0.1,0.025,0.050374466822160145,0.7496255331778399,0.6903744668221603,0.12843602682999966,0.24962553317783986,True,0.16836758259847112,scipy-bounded,0.9776600829661494,0,0,0,0,0
1000,4,64,0.8,0.01,0.1,0.025,0.050374466822160145,0.7496255331778399,0.7003744668221603,0.13843602682999967,0.24962553317783986,True,0.17086042418465902,scipy-bounded,0.9809393478203998,0,0,0,0,0
1000,4,64,0.8,0.03,0.1,0.025,0.050374466822160145,0.7496255331778399,0.7203744668221603,0.1584360268299997,0.24962553317783986,True,0.17539933756710366,scipy-bounded,0.9858830495282874,0,0,0,0,0
1000,4,64,0.8,0.05,0.1,0.025,0.050374466822160145,0.7496255331778399,0.7403744668221603,0.1784360268299997,0.24962553317783986,True,0.17944835213201307,scipy-bounded,0.9893562796112596,0,0,0,0,0
1000,4,64,0.8,0.1,0.1,0.025,0.050374466822160145,0.7496255331778399,0.7903744668221603,0.22843602682999964,0.24962553317783986,True,0.18799301698226756,scipy-bounded,0.9944922585280164,0,0,0,0,0
1000,6,64,0.8,0.0,0.1,0.016666666666666666,0.05234806072502587,0.7476519392749742,0.692348060725026,0.1333646384233963,0.2476519392749742,True,0.17037642928298188,scipy-bounded,0.9814840007301993,0,0,0,0,0
1000,6,64,0.8,0.01,0.1,0.016666666666666666,0.05234806072502587,0.7476519392749742,0.702348060725026,0.1433646384233963,0.2476519392749742,True,0.17283349551675267,scipy-bounded,0.9842716854753294,0,0,0,0,0
1000,6,64,0.8,0.03,0.1,0.016666666666666666,0.05234806072502587,0.7476519392749742,0.722348060725026,0.16336463842339632,0.2476519392749742,True,0.17732120069630594,scipy-bounded,0.9884806306015235,0,0,0,0,0
1000,6,64,0.8,0.05,0.1,0.016666666666666666,0.05234806072502587,0.7476519392749742,0.742348060725026,0.18336463842339634,0.2476519392749742,True,0.18133959735620245,scipy-bounded,0.9914391808563772,0,0,0,0,0
1000,6,64,0.8,0.1,0.1,0.016666666666666666,0.05234806072502587,0.7476519392749742,0.792348060725026,0.23336463842339628,0.2476519392749742,True,0.18988801305946293,scipy-bounded,0.9958021259537417,0,0,0,0,0
1000,12,64,0.8,0.0,0.1,0.008333333333333333,0.0555598150820444,0.7444401849179556,0.6955598150820446,0.14136862616136459,0.2444401849179556,True,0.1737594939531073,scipy-bounded,0.9868384941931506,0,0,0,0,0
1000,12,64,0.8,0.01,0.1,0.008333333333333333,0.0555598150820444,0.7444401849179556,0.7055598150820446,0.1513686261613646,0.2444401849179556,True,0.17617110636461536,scipy-bounded,0.9889531899043978,0,0,0,0,0
