M,C,N,bar_alpha,F,delta_global,delta_cell,eps_M,L_alpha,U_2,U_F,m_L,issued,eta_star,method,R_cert,mL_le_0,UF_eq_quarter,R_cert_eq_1,R_cert_lt_07,R_cert_lt_03
100,4,8,0.55,0.0,0.1,0.025,0.15929805107461023,0.3907019489253898,0.46179805107461025,0.25,-0.10929805107461021,False,,no-margin,1.0,1,1,1,0,0
100,4,8,0.55,0.01,0.1,0.025,0.15929805107461023,0.3907019489253898,0.47179805107461026,0.25,-0.10929805107461021,False,,no-margin,1.0,1,1,1,0,0
100,4,8,0.55,0.03,0.1,0.025,0.15929805107461023,0.3907019489253898,0.4917980510746103,0.25,-0.10929805107461021,False,,no-margin,1.0,1,1,1,0,0
100,4,8,0.55,0.05,0.1,0.025,0.15929805107461023,0.3907019489253898,0.5117980510746103,0.25,-0.10929805107461021,False,,no-margin,1.0,1,1,1,0,0
100,4,8,0.55,0.1,0.1,0.025,0.15929805107461023,0.3907019489253898,0.5617980510746103,0.25,-0.10929805107461021,False,,no-margin,1.0,1,1,1,0,0
100,4,8,0.6,0.0,0.1,0.025,0.15929805107461023,0.4407019489253897,0.5192980510746102,0.25,-0.05929805107461028,False,,no-margin,1.0,1,1,1,0,0
100,4,8,0.6,0.01,0.1,0.025,0.15929805107461023,0.4407019489253897,0.5292980510746103,0.25,-0.05929805107461028,False,,no-margin,1.0,1,1,1,0,0
100,4,8,0.6,0.03,0.1,0.025,0.15929805107461023,0.4407019489253897,0.5492980510746103,0.25,-0.05929805107461028,False,,no-margin,1.0,1,1,1,0,0
100,4,8,0.6,0.05,0.1,0.025,0.15929805107461023,0.4407019489253897,0.5692980510746102,0.25,-0.05929805107461028,False,,no-margin,1.0,1,1,1,0,0
100,4,8,0.6,0.1,0.1,0.025,0.15929805107461023,0.4407019489253897,0.6192980510746102,0.25,-0.05929805107461028,False,,no-margin,1.0,1,1,1,0,0
100,4,8,0.65,0.0,0.1,0.025,0.15929805107461023,0.49070194892538976,0.5817980510746102,0.25,-0.009298051074610236,False,,no-margin,1.0,1,1,1,0,0
100,4,8,0.65,0.01,0.1,0.025,0.15929805107461023,0.49070194892538976,0.5917980510746103,0.25,-0.009298051074610236,False,,no-margin,1.0,1,1,1,0,0
100,4,8,0.65,0.03,0.1,0.025,0.15929805107461023,0.49070194892538976,0.6117980510746103,0.25,-0.009298051074610236,False,,no-margin,1.0,1,1,1,0,0
100,4,8,0.65,0.05,0.1,0.025,0.15929805107461023,0.49070194892538976,0.6317980510746103,0.25,-0.009298051074610236,False,,no-margin,1.0,1,1,1,0,0
100,4,8,0.65,0.1,0.1,0.025,0.15929805107461023,0.49070194892538976,0.6817980510746103,0.25,-0.009298051074610236,False,,no-margin,1.0,1,1,1,0,0
100,4,8,0.7,0.0,0.1,0.025,0.15929805107461023,0.5407019489253897,0.6492980510746101,0.25,0.0407019489253897,True,0.04069822856842753,scipy-bounded,1.0,0,1,1,0,0
100,4,8,0.7,0.01,0.1,0.025,0.15929805107461023,0.5407019489253897,0.6592980510746101,0.25,0.0407019489253897,True,0.04069822856842753,scipy-bounded,1.0,0,1,1,0,0
100,4,8,0.7,0.03,0.1,0.025,0.15929805107461023,0.5407019489253897,0.6792980510746102,0.25,0.0407019489253897,True,0.04069822856842753,scipy-bounded,1.0,0,1,1,0,0
100,4,8,0.7,0.05,0.1,0.025,0.15929805107461023,0.5407019489253897,0.6992980510746102,0.25,0.0407019489253897,True,0.04069822856842753,scipy-bounded,1.0,0,1,1,0,0
100,4,8,0.7,0.1,0.1,0.025,0.15929805107461023,0.5407019489253897,0.7492980510746102,0.25,0.0407019489253897,True,0.04069822856842753,scipy-bounded,1.0,0,1,1,0,0
100,4,8,0.75,0.0,0.1,0.025,0.15929805107461023,0.5907019489253897,0.7217980510746103,0.25,0.09070194892538974,True,0.09069594289647974,scipy-bounded,1.0,0,1,1,0,0
100,4,8,0.75,0.01,0.1,0.025,0.15929805107461023,0.5907019489253897,0.7317980510746103,0.25,0.09070194892538974,True,0.09069594289647974,scipy-bounded,1.0,0,1,1,0,0
100,4,8,0.75,0.03,0.1,0.025,0.15929805107461023,0.5907019489253897,0.7517980510746103,0.25,0.09070194892538974,True,0.09069594289647974,scipy-bounded,1.0,0,1,1,0,0
100,4,8,0.75,0.05,0.1,0.025,0.15929805107461023,0.5907019489253897,0.7717980510746103,0.25,0.09070194892538974,True,0.09069594289647974,scipy-bounded,1.0,0,1,1,0,0
100,4,8,0.75,0.1,0.1,0.025,0.15929805107461023,0.5907019489253897,0.8217980510746102,0.25,0.09070194892538974,True,0.09069594289647974,scipy-bounded,1.0,0,1,1,0,0
100,4,8,0.8,0.0,0.1,0.025,0.15929805107461023,0.6407019489253898,0.7992980510746104,0.25,0.14070194892538979,True,0.14069619035827546,scipy-bounded,1.0,0,1,1,0,0
100,4,8,0.8,0.01,0.1,0.025,0.15929805107461023,0.6407019489253898,0.8092980510746104,0.25,0.14070194892538979,True,0.14069619035827546,scipy-bounded,1.0,0,1,1,0,0
100,4,8,0.8,0.03,0.1,0.025,0.15929805107461023,0.6407019489253898,0.8292980510746104,0.25,0.14070194892538979,True,0.14069619035827546,scipy-bounded,1.0,0,1,1,0,0
100,4,8,0.8,0.05,0.1,0.025,0.15929805107461023,0.6407019489253898,0.8492980510746104,0.25,0.14070194892538979,True,0.14069619035827546,scipy-bounded,1.0,0,1,1,0,0
100,4,8,0.8,0.1,0.1,0.025,0.15929805107461023,0.6407019489253898,0.8992980510746104,0.25,0.14070194892538979,True,0.14069619035827546,scipy-bounded,1.0,0,1,1,0,0
100,4,16,0.55,0.0,0.1,0.025,0.15929805107461023,0.3907019489253898,0.46179805107461025,0.25,-0.10929805107461021,False,,no-margin,1.0,1,1,1,0,0
100,4,16,0.55,0.01,0.1,0.025,0.15929805107461023,0.3907019489253898,0.47179805107461026,0.25,-0.10929805107461021,False,,no-margin,1.0,1,1,1,0,0
100,4,16,0.55,0.03,0.1,0.025,0.15929805107461023,0.3907019489253898,0.4917980510746103,0.25,-0.10929805107461021,False,,no-margin,1.0,1,1,1,0,0
100,4,16,0.55,0.05,0.1,0.025,0.15929805107461023,0.3907019489253898,0.5117980510746103,0.25,-0.10929805107461021,False,,no-margin,1.0,1,1,1,0,0
100,4,16,0.55,0.1,0.1,0.025,0.15929805107461023,0.3907019489253898,0.5617980510746103,0.25,-0.10929805107461021,False,,no-margin,1.0,1,1,1,0,0
100,4,16,0.6,0.0,0.1,0.025,0.15929805107461023,0.4407019489253897,0.5192980510746102,0.25,-0.05929805107461028,False,,no-margin,1.0,1,1,1,0,0
100,4,16,0.6,0.01,0.1,0.025,0.15929805107461023,0.4407019489253897,0.5292980510746103,0.25,-0.05929805107461028,False,,no-margin,1.0,1,1,1,0,0
100,4,16,0.6,0.03,0.1,0.025,0.15929805107461023,0.4407019489253897,0.5492980510746103,0.25,-0.05929805107461028,False,,no-margin,1.0,1,1,1,0,0
100,4,16,0.6,0.05,0.1,0.025,0.15929805107461023,0.4407019489253897,0.5692980510746102,0.25,-0.05929805107461028,False,,no-margin,1.0,1,1,1,0,0
100,4,16,0.6,0.1,0.1,0.025,0.15929805107461023,0.4407019489253897,0.6192980510746102,0.25,-0.05929805107461028,False,,no-margin,1.0,1,1,1,0,0
100,4,16,0.65,0.0,0.1,0.025,0.15929805107461023,0.49070194892538976,0.5817980510746102,0.25,-0.009298051074610236,False,,no-margin,1.0,1,1,1,0,0
100,4,16,0.65,0.01,0.1,0.025,0.15929805107461023,0.49070194892538976,0.5917980510746103,0.25,-0.009298051074610236,False,,no-margin,1.0,1,1,1,0,0
100,4,16,0.65,0.03,0.1,0.025,0.15929805107461023,0.49070194892538976,0.6117980510746103,0.25,-0.009298051074610236,False,,no-margin,1.0,1,1,1,0,0
100,4,16,0.65,0.05,0.1,0.025,0.15929805107461023,0.49070194892538976,0.6317980510746103,0.25,-0.009298051074610236,False,,no-margin,1.0,1,1,1,0,0
100,4,16,0.65,0.1,0.1,0.025,0.15929805107461023,0.49070194892538976,0.6817980510746103,0.25,-0.009298051074610236,False,,no-margin,1.0,1,1,1,0,0
100,4,16,0.7,0.0,0.1,0.025,0.15929805107461023,0.5407019489253897,0.6492980510746101,0.25,0.0407019489253897,True,0.04069822856842753,scipy-bounded,1.0,0,1,1,0,0
100,4,16,0.7,0.01,0.1,0.025,0.15929805107461023,0.5407019489253897,0.6592980510746101,0.25,0.0407019489253897,True,0.04069822856842753,scipy-bounded,1.0,0,1,1,0,0
100,4,16,0.7,0.03,0.1,0.025,0.15929805107461023,0.5407019489253897,0.6792980510746102,0.25,0.0407019489253897,True,0.04069822856842753,scipy-bounded,1.0,0,1,1,0,0
100,4,16,0.7,0.05,0.1,0.025,0.15929805107461023,0.5407019489253897,0.6992980510746102,0.25,0.0407019489253897,True,0.04069822856842753,scipy-bounded,1.0,0,1,1,0,0
100,4,16,0.7,0.1,0.1,0.025,0.15929805107461023,0.5407019489253897,0.7492980510746102,0.25,0.0407019489253897,True,0.04069822856842753,scipy-bounded,1.0,0,1,1,0,0
100,4,16,0.75,0.0,0.1,0.025,0.15929805107461023,0.5907019489253897,0.7217980510746103,0.25,0.09070194892538974,True,0.09069594289647974,scipy-bounded,1.0,0,1,1,0,0
100,4,16,0.75,0.01,0.1,0.025,0.15929805107461023,0.5907019489253897,0.7317980510746103,0.25,0.09070194892538974,True,0.09069594289647974,scipy-bounded,1.0,0,1,1,0,0
100,4,16,0.75,0.03,0.1,0.025,0.15929805107461023,0.5907019489253897,0.7517980510746103,0.25,0.09070194892538974,True,0.09069594289647974,scipy-bounded,1.0,0,1,1,0,0
100,4,16,0.75,0.05,0.1,0.025,0.15929805107461023,0.5907019489253897,0.7717980510746103,0.25,0.09070194892538974,True,0.09069594289647974,scipy-bounded,1.0,0,1,1,0,0
100,4,16,0.75,0.1,0.1,0.025,0.15929805107461023,0.5907019489253897,0.8217980510746102,0.25,0.09070194892538974,True,0.09069594289647974,scipy-bounded,1.0,0,1,1,0,0
100,4,16,0.8,0.0,0.1,0.025,0.15929805107461023,0.6407019489253898,0.7992980510746104,0.25,0.14070194892538979,True,0.14069619035827546,scipy-bounded,1.0,0,1,1,0,0
100,4,16,0.8,0.01,0.1,0.025,0.15929805107461023,0.6407019489253898,0.8092980510746104,0.25,0.14070194892538979,True,0.14069619035827546,scipy-bounded,1.0,0,1,1,0,0
100,4,16,0.8,0.03,0.1,0.025,0.15929805107461023,0.6407019489253898,0.8292980510746104,0.25,0.14070194892538979,True,0.14069619035827546,scipy-bounded,1.0,0,1,1,0,0
100,4,16,0.8,0.05,0.1,0.025,0.15929805107461023,0.6407019489253898,0.8492980510746104,0.25,0.14070194892538979,True,0.14069619035827546,scipy-bounded,1.0,0,1,1,0,0
100,4,16,0.8,0.1,0.1,0.025,0.15929805107461023,0.6407019489253898,0.8992980510746104,0.25,0.14070194892538979,True,0.14069619035827546,scipy-bounded,1.0,0,1,1,0,0
100,4,32,0.55,0.0,0.1,0.025,0.15929805107461023,0.3907019489253898,0.46179805107461025,0.25,-0.10929805107461021,False,,no-margin,1.0,1,1,1,0,0
100,4,32,0.55,0.01,0.1,0.025,0.15929805107461023,0.3907019489253898,0.47179805107461026,0.25,-0.10929805107461021,False,,no-margin,1.0,1,1,1,0,0
100,4,32,0.55,0.03,0.1,0.025,0.15929805107461023,0.3907019489253898,0.4917980510746103,0.25,-0.10929805107461021,False,,no-margin,1.0,1,1,1,0,0
100,4,32,0.55,0.05,0.1,0.025,0.15929805107461023,0.3907019489253898,0.5117980510746103,0.25,-0.10929805107461021,False,,no-margin,1.0,1,1,1,0,0
100,4,32,0.55,0.1,0.1,0.025,0.15929805107461023,0.3907019489253898,0.5617980510746103,0.25,-0.10929805107461021,False,,no-margin,1.0,1,1,1,0,0
100,4,32,0.6,0.0,0.1,0.025,0.15929805107461023,0.4407019489253897,0.5192980510746102,0.25,-0.05929805107461028,False,,no-margin,1.0,1,1,1,0,0
100,4,32,0.6,0.01,0.1,0.025,0.15929805107461023,0.4407019489253897,0.5292980510746103,0.25,-0.05929805107461028,False,,no-margin,1.0,1,1,1,0,0
100,4,32,0.6,0.03,0.1,0.025,0.15929805107461023,0.4407019489253897,0.5492980510746103,0.25,-0.05929805107461028,False,,no-margin,1.0,1,1,1,0,0
100,4,32,0.6,0.05,0.1,0.025,0.15929805107461023,0.4407019489253897,0.5692980510746102,0.25,-0.05929805107461028,False,,no-margin,1.0,1,1,1,0,0
100,4,32,0.6,0.1,0.1,0.025,0.15929805107461023,0.4407019489253897,0.6192980510746102,0.25,-0.05929805107461028,False,,no-margin,1.0,1,1,1,0,0
100,4,32,0.65,0.0,0.1,0.025,0.15929805107461023,0.49070194892538976,0.5817980510746102,0.25,-0.009298051074610236,False,,no-margin,1.0,1,1,1,0,0
100,4,32,0.65,0.01,0.1,0.025,0.15929805107461023,0.49070194892538976,0.5917980510746103,0.25,-0.009298051074610236,False,,no-margin,1.0,1,1,1,0,0
100,4,32,0.65,0.03,0.1,0.025,0.15929805107461023,0.49070194892538976,0.6117980510746103,0.25,-0.009298051074610236,False,,no-margin,1.0,1,1,1,0,0
100,4,32,0.65,0.05,0.1,0.025,0.15929805107461023,0.49070194892538976,0.6317980510746103,0.25,-0.009298051074610236,False,,no-margin,1.0,1,1,1,0,0
100,4,32,0.65,0.1,0.1,0.025,0.15929805107461023,0.49070194892538976,0.6817980510746103,0.25,-0.009298051074610236,False,,no-margin,1.0,1,1,1,0,0
100,4,32,0.7,0.0,0.1,0.025,0.15929805107461023,0.5407019489253897,0.6492980510746101,0.25,0.0407019489253897,True,0.04069822856842753,scipy-bounded,1.0,0,1,1,0,0
100,4,32,0.7,0.01,0.1,0.025,0.15929805107461023,0.5407019489253897,0.6592980510746101,0.25,0.0407019489253897,True,0.04069822856842753,scipy-bounded,1.0,0,1,1,0,0
100,4,32,0.7,0.03,0.1,0.025,0.15929805107461023,0.5407019489253897,0.6792980510746102,0.25,0.0407019489253897,True,0.04069822856842753,scipy-bounded,1.0,0,1,1,0,0
100,4,32,0.7,0.05,0.1,0.025,0.15929805107461023,0.5407019489253897,0.6992980510746102,0.25,0.0407019489253897,True,0.04069822856842753,scipy-bounded,1.0,0,1,1,0,0
100,4,32,0.7,0.1,0.1,0.025,0.15929805107461023,0.5407019489253897,0.7492980510746102,0.25,0.0407019489253897,True,0.04069822856842753,scipy-bounded,1.0,0,1,1,0,0
100,4,32,0.75,0.0,0.1,0.025,0.15929805107461023,0.5907019489253897,0.7217980510746103,0.25,0.09070194892538974,True,0.09069594289647974,scipy-bounded,1.0,0,1,1,0,0
100,4,32,0.75,0.01,0.1,0.025,0.15929805107461023,0.5907019489253897,0.7317980510746103,0.25,0.09070194892538974,True,0.09069594289647974,scipy-bounded,1.0,0,1,1,0,0
100,4,32,0.75,0.03,0.1,0.025,0.15929805107461023,0.5907019489253897,0.7517980510746103,0.25,0.09070194892538974,True,0.09069594289647974,scipy-bounded,1.0,0,1,1,0,0
100,4,32,0.75,0.05,0.1,0.025,0.15929805107461023,0.5907019489253897,0.7717980510746103,0.25,0.09070194892538974,True,0.09069594289647974,scipy-bounded,1.0,0,1,1,0,0
100,4,32,0.75,0.1,0.1,0.025,0.15929805107461023,0.5907019489253897,0.8217980510746102,0.25,0.09070194892538974,True,0.09069594289647974,scipy-bounded,1.0,0,1,1,0,0
100,4,32,0.8,0.0,0.1,0.025,0.15929805107461023,0.6407019489253898,0.7992980510746104,0.25,0.14070194892538979,True,0.14069619035827546,scipy-bounded,1.0,0,1,1,0,0
100,4,32,0.8,0.01,0.1,0.025,0.15929805107461023,0.6407019489253898,0.8092980510746104,0.25,0.14070194892538979,True,0.14069619035827546,scipy-bounded,1.0,0,1,1,0,0
100,4,32,0.8,0.03,0.1,0.025,0.15929805107461023,0.6407019489253898,0.8292980510746104,0.25,0.14070194892538979,True,0.14069619035827546,scipy-bounded,1.0,0,1,1,0,0
100,4,32,0.8,0.05,0.1,0.025,0.15929805107461023,0.6407019489253898,0.8492980510746104,0.25,0.14070194892538979,True,0.14069619035827546,scipy-bounded,1.0,0,1,1,0,0
100,4,32,0.8,0.1,0.1,0.025,0.15929805107461023,0.6407019489253898,0.8992980510746104,0.25,0.14070194892538979,True,0.14069619035827546,scipy-bounded,1.0,0,1,1,0,0
100,4,64,0.55,0.0,0.1,0.025,0.15929805107461023,0.3907019489253898,0.46179805107461025,0.25,-0.10929805107461021,False,,no-margin,1.0,1,1,1,0,0
100,4,64,0.55,0.01,0.1,0.025,0.15929805107461023,0.3907019489253898,0.47179805107461026,0.25,-0.10929805107461021,False,,no-margin,1.0,1,1,1,0,0
